ID,MASQUE,LIB,Correspondance,INTERPRETE,AUTEUR,AUTEUR_TEXTE,AUTEUR_MUSIQUE,XML_FIELD_ID,XML_FIELD_ID_DNC,CU,DNC,LIB_ALT,CU_ALT,M29 Editing,F25 Plan d'exécution,F29 Recording Event,F28 Nouvelle expression,M9 Derivation Type,Commentaires
1,0,Adaptateur,adaptateur,0,1,,1,10560,10560,1,1,Adaptation,,,,,,Adaptation,
2,0,"Animateur, Présentateur",présentateur dans un spectacle,1,,0,0,10234,10234,2,,Présentation,,,,,,,
3,0,Assistant à la réalisation,,0,,0,0,10233,10233,3,1,,,,,,,,
4,0,Auteur,auteur du texte,0,1,1,0,1507,1507,4,1,,,,,,,,
5,0,Bruiteur,bruiteur,1,,0,0,10232,10232,5,,,,,,,,,
6,0,Chargé(e) de réalisation,chargé de réalisation,0,,0,0,10232,10232,6,,Réalisation,,1,,,,,
7,0,Chef d'orchestre,chef d'orchestre,1,,0,0,10641,10641,7,1,Direction,,,,,,,
8,0,Chorégraphe,chorégraphe,0,1,0,0,1507,1507,8,,,,,,,1,,"oeuvre de type ""oeuvre chorégraphique"" (en attente référentiel des oeuvres)"
9,0,Comédien,acteur,1,,0,0,1506,1506,9,,,,,,,,,
10,0,Compositeur,compositeur,0,1,0,1,10579,10579,10,1,,,,,,,,
11,0,Danseur,danseur,1,,0,0,1506,1506,11,,,,,,,,,
12,0,Direction artistique,directeur artistique,0,,0,0,10129,10129,12,,,,,1,,,,
13,1,Interprète,interprète,1,,0,0,1506,1506,13,1,,,,,,,,
14,0,Metteur en scène,metteur en scène,0,1,0,0,1507,1507,14,,,,,,,1,,"oeuvre de type ""mise en scène"" (en attente référentiel des oeuvres)"
15,1,Musicien,musicien (interprète),1,,0,0,10856,10856,15,1,,,,,,,,
16,0,Prise de son,preneur de son,0,,0,0,10128,10128,16,,,,,,1,,,"(erreur dans OMU_PERSONNE => remplacer par PROFESSION ID= 2 Animateur, Présentateur)"
17,0,Producteur,producteur (radio),0,,0,0,1516,1516,17,1,Production,,,,,,,
18,0,Réalisateur,réalisateur d'émission de radio,0,,0,0,10232,10232,18,1,Réalisation,,1,,,,,
19,1,Soliste,,1,,0,0,10609,10609,19,1,,,,,,,,M32 Actor's responsability (déjà mappé)
20,0,Traducteur,traducteur,0,1,1,0,1507,1507,20,,Traduction,,,,,,,
21,0,Conseiller littéraire,conseiller littéraire,0,,0,0,10231,10231,21,,,,,,,,,
41,0,Chef de choeur,chef de choeur,1,,0,0,10641,10641,31,,Direction,,,,,,,
81,0,Chroniqueur,,0,,,0,10234,10234,22,,,,,,,,,
122,0,Monteur,monteur (son),0,,0,0,10232,10232,67,,Montage,,1,,,,,
201,0,Auteur de texte,auteur du texte,0,1,1,0,1507,1507,41,,,,,,,,,
202,0,Auteur dramatique,auteur du texte,0,1,1,0,1507,1507,42,,,,,,,,,
203,0,Auteur lecteur,narrateur,,,,0,1507,1507,43,,,,,,,,,
204,1,Chanteur,,1,,0,0,1506,1506,30,,,,,,,,,M14 MOP chant@fre (iaml)
205,1,Chanteuse,,1,,0,0,1506,1506,,,,30,,,,,,M14 MOP chant@fre (iaml)
206,0,Chef d'orchestre (Femme),chef d'orchestre,1,,0,0,10641,10641,,,Direction,7,,,,,,
207,0,Collecteur,collecteur,0,1,0,1,1507,1507,44,,,,,,,,,
208,0,Compilateur,compilateur,0,,,0,1507,1507,45,,,,,,,,,
209,0,Compositrice,compositeur,0,1,0,1,10579,10579,,,,10,,,,,,
210,0,Conteur,conteur,1,,0,0,1506,1506,32,,,,,,,,,
211,0,Décorateur,décorateur,0,1,0,0,1507,1507,46,,,,,,,1,,"oeuvre de type ""décor de scène"" (en attente référentiel des oeuvres)"
212,0,Dessinateur,dessinateur,0,,0,0,1507,1507,47,,,,,,,,,
243,0,Directeur d'édition,,0,,0,0,1507,1507,,,,,,,,,,
213,0,Editeur,éditeur,0,,0,0,1507,1507,49,,,,,,,,,
214,0,Fantaisiste,créateur de la fantaisie musicale,,,0,0,1506,1506,33,,,,,,,,,
215,0,Griot,,,,0,0,1506,1506,34,,,,,,,,,
216,0,Harmonisateur,harmonisateur,0,1,0,1,1507,1507,50,,,,,,,,Harmonisation,
217,0,Illustrateur,,0,,0,0,1507,1507,51,,,,,,,,,
218,0,Imitateur,imitateur,1,,0,0,1506,1506,35,,,,,,,,,
244,0,Journaliste,,0,,,0,1507,1507,,,,,,,,,,
219,0,Lecteur,narrateur,1,,0,0,1506,1506,36,,,,,,,,,
220,0,Librettiste,librettiste,0,1,1,0,1507,1507,52,,,,,,,,,
221,0,Orchestrateur,orchestrateur,0,1,0,1,1507,1507,53,,,,,,,,Orchestration,
222,0,Parodieur,parodiste,0,1,0,1,1507,1507,54,,,,,,,,,
223,0,Parolier,parolier,0,1,1,0,1507,1507,55,,,,,,,,,
